Designator,Footprint,Quantity,Value,LCSC Part #
A1,PAW3395,1,~,
"C1, C29, C39",0805,3,4.7μF,
"C10, C12, C15, C16, C18, C3, C41, C43, C6, C8",0805,10,10μF,
"C11, C17, C30, C32, C42",0805,5,1μF,
"C13, C14, C19, C2, C20, C21, C22, C23, C28, C31, C38, C4, C5",0805,13,100nF,
"C24, C25, C26, C27",0805,4,12pF,
"C33, C37",0805,2,N.C.,
C34,0805,1,100pF,
C35,0805,1,0.8pF,
C36,0805,1,0.5pF,
C7,0805,1,33uF,
"D3, D5",D_SOD-123F,2,MBR1020VL,
J2,JSTPH2PINSMTRIGHTANGLECONNECTOR,1,JSTPH,
J3,AMPHENOL_12401598E4_2A,1,USB_C_Receptacle_USB2.0_14P,
"L1, L4",0805,2,10μH,
L2,0805,1,15nH,
L3,0805,1,3.3nH,
LED1,SK6812MINIE,1,SK6812MINI-E,
"R1, R10, R11, R12, R13, R20, R21, R9",0805,8,10kΩ,
R2,0805,1,5.6Ω,
R3,0805,1,2kΩ,
"R4, R5, R8",0805,3,100kΩ,
R6,0805,1,5.1kΩ,
"SW1, SW2, SW4, SW5",SW_Tactile_SPDT_Omron_D2F,4,SW_SPST,
SW3,SW_PUSH_6mm,1,SW_SPST,
"SW6, SW7",0402,2,SW_SPST,
SW8,EC10E1220503,1,RotaryEncoder,
SW9,SW_SPST_CK_RS282G05A3,1,SW_SPST,
U2,SOT-23-5,1,SPX3819M5-L-3-3,
U3,SOT-23-5,1,MCP73831-2-OT,
U4,SOT-23-5,1,TLV70019_SOT23-5,
U5,Nordic_AQFN-73-1EP_7x7mm_P0.5mm,1,nRF52840,
U6,SOT-23-5,1,SPX3819M5-L-5-0,
Y1,FC135327680KAA,1,32.768 Hz,
Y2,ABM8A32000MHZD2YT3,1,32 Hz,
