Designator,Mid X,Mid Y,Rotation,Layer
A1,126.35,-118.31,0.0,top
C1,113.87,-120.93,180.0,bottom
C10,135.5875,-132.01,0.0,bottom
C11,135.5875,-135.02,0.0,bottom
C12,115.55,-78.15,90.0,top
C13,113.9625,-101.37,0.0,top
C14,113.9625,-104.38,0.0,top
C15,121.65,-139.05,180.0,bottom
C16,121.5625,-135.8,180.0,bottom
C17,121.55,-132.55,180.0,bottom
C18,119.0625,-77.23,0.0,top
C19,134.02,-76.38,180.0,bottom
C2,113.87,-123.94,180.0,bottom
C20,134.02,-79.39,180.0,bottom
C21,134.02,-82.4,180.0,bottom
C22,134.02,-85.41,180.0,bottom
C23,114.35,-83.6,180.0,bottom
C24,137.7,-95.3,90.0,bottom
C25,140.71,-95.3,90.0,bottom
C26,143.72,-95.3,90.0,bottom
C27,146.73,-95.3,90.0,bottom
C28,113.9625,-107.39,0.0,top
C29,113.9625,-110.4,0.0,top
C3,113.87,-126.95,180.0,bottom
C30,113.9625,-113.41,0.0,top
C31,119.1125,-80.65,180.0,bottom
C32,113.9125,-116.48,0.0,top
C33,113.9125,-119.49,0.0,top
C34,113.9125,-122.5,0.0,top
C35,113.9125,-125.51,0.0,top
C36,143.65,-113.7,180.0,top
C37,133.9,-99.08,0.0,top
C38,133.9,-102.09,0.0,top
C39,133.9,-105.1,0.0,top
C4,113.87,-129.96,180.0,bottom
C41,113.97,-104.34,180.0,bottom
C42,113.97,-107.35,180.0,bottom
C43,119.0625,-83.25,0.0,top
C5,113.87,-132.97,180.0,bottom
C6,113.87,-135.98,180.0,bottom
C7,113.87,-138.99,180.0,bottom
C8,126.1125,-135.1,0.0,top
D3,126.0,-139.05,180.0,bottom
D5,125.95,-135.5,180.0,bottom
J2,113.95,-136.35,0.0,top
J3,126.4,-83.19,180.0,bottom
L1,133.9,-85.5,0.0,top
L2,133.98,-76.875,0.0,top
L3,141.3,-120.7082,270.0,top
L4,133.98,-82.375,0.0,top
LED1,126.75,-103.2,0.0,top
R1,109.75,-126.95,180.0,bottom
R10,138.8,-79.3,180.0,bottom
R11,138.8,-82.25,180.0,bottom
R12,138.8,-85.2,180.0,bottom
R13,119.13,-83.6,180.0,bottom
R2,109.75,-129.9,180.0,bottom
R20,118.15,-101.4,0.0,top
R21,118.15,-104.35,0.0,top
R3,122.0,-135.1,0.0,top
R4,114.0,-110.6,180.0,bottom
R5,135.65,-138.15,0.0,bottom
R6,114.3,-80.6,180.0,bottom
R8,121.5,-129.35,180.0,bottom
R9,138.8,-76.35,180.0,bottom
SW1,110.3,-86.7,180.0,top
SW2,141.95,-86.7,180.0,top
SW3,132.9,-91.85,90.0,top
SW4,108.3,-102.18,0.0,top
SW5,108.3,-117.65,180.0,top
SW6,106.37,-131.75,0.0,top
SW7,106.42,-134.1,0.0,top
SW8,118.325,-92.2,270.0,top
SW9,133.8,-101.85,90.0,bottom
U2,131.2875,-136.65,180.0,bottom
U3,121.9625,-131.15,180.0,top
U4,125.5625,-131.15,0.0,bottom
U5,141.55,-106.75,0.0,top
U6,119.05,-103.35,0.0,bottom
Y1,138.95,-99.6,0.0,top
Y2,144.85,-99.6,0.0,top
